url	status	redirects_to	note
https://sendmoneycompare.com/send-money/italy-to-senegal	301	/send-money/austria-to-senegal	consolidated into another corridor page (301)
https://sendmoneycompare.com/send-money/italy-to-sri-lanka	301	/send-money/austria-to-sri-lanka	consolidated into another corridor page (301)
https://sendmoneycompare.com/send-money/italy-to-tanzania	301	/send-money/austria-to-tanzania	consolidated into another corridor page (301)
https://sendmoneycompare.com/send-money/italy-to-uganda	301	/send-money/austria-to-uganda	consolidated into another corridor page (301)
https://sendmoneycompare.com/send-money/japan-to-el-salvador	301	/send-money/japan-to-ecuador	consolidated into another corridor page (301)
https://sendmoneycompare.com/send-money/japan-to-panama	301	/send-money/japan-to-ecuador	consolidated into another corridor page (301)
https://sendmoneycompare.com/send-money/netherlands-to-cameroon	301	/send-money/austria-to-cameroon	consolidated into another corridor page (301)
https://sendmoneycompare.com/send-money/netherlands-to-china	301	/send-money/germany-to-china	consolidated into another corridor page (301)
https://sendmoneycompare.com/send-money/netherlands-to-ethiopia	301	/send-money/austria-to-ethiopia	consolidated into another corridor page (301)
https://sendmoneycompare.com/send-money/netherlands-to-philippines	301	/send-money/finland-to-philippines	consolidated into another corridor page (301)
https://sendmoneycompare.com/send-money/netherlands-to-rwanda	404		outside the corridor allowlist (404)
https://sendmoneycompare.com/send-money/netherlands-to-senegal	301	/send-money/austria-to-senegal	consolidated into another corridor page (301)
https://sendmoneycompare.com/send-money/netherlands-to-sri-lanka	301	/send-money/austria-to-sri-lanka	consolidated into another corridor page (301)
https://sendmoneycompare.com/send-money/netherlands-to-tanzania	301	/send-money/austria-to-tanzania	consolidated into another corridor page (301)
https://sendmoneycompare.com/send-money/netherlands-to-uganda	301	/send-money/austria-to-uganda	consolidated into another corridor page (301)
https://sendmoneycompare.com/send-money/portugal-to-china	301	/send-money/germany-to-china	consolidated into another corridor page (301)
https://sendmoneycompare.com/send-money/portugal-to-ethiopia	301	/send-money/austria-to-ethiopia	consolidated into another corridor page (301)
https://sendmoneycompare.com/send-money/portugal-to-sri-lanka	301	/send-money/austria-to-sri-lanka	consolidated into another corridor page (301)
https://sendmoneycompare.com/send-money/portugal-to-tanzania	301	/send-money/austria-to-tanzania	consolidated into another corridor page (301)
https://sendmoneycompare.com/send-money/portugal-to-uganda	301	/send-money/austria-to-uganda	consolidated into another corridor page (301)
https://sendmoneycompare.com/send-money/singapore-to-colombia	404		outside the corridor allowlist (404)
https://sendmoneycompare.com/send-money/singapore-to-mexico	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/singapore-to-nigeria	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/singapore-to-taiwan	404		outside the corridor allowlist (404)
https://sendmoneycompare.com/send-money/singapore-to-ukraine	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/spain-to-cameroon	301	/send-money/austria-to-cameroon	consolidated into another corridor page (301)
https://sendmoneycompare.com/send-money/spain-to-china	301	/send-money/germany-to-china	consolidated into another corridor page (301)
https://sendmoneycompare.com/send-money/spain-to-ethiopia	301	/send-money/austria-to-ethiopia	consolidated into another corridor page (301)
https://sendmoneycompare.com/send-money/spain-to-rwanda	404		outside the corridor allowlist (404)
https://sendmoneycompare.com/send-money/spain-to-senegal	301	/send-money/austria-to-senegal	consolidated into another corridor page (301)
https://sendmoneycompare.com/send-money/spain-to-sri-lanka	301	/send-money/austria-to-sri-lanka	consolidated into another corridor page (301)
https://sendmoneycompare.com/send-money/spain-to-tanzania	301	/send-money/austria-to-tanzania	consolidated into another corridor page (301)
https://sendmoneycompare.com/send-money/spain-to-uganda	301	/send-money/austria-to-uganda	consolidated into another corridor page (301)
https://sendmoneycompare.com/send-money/switzerland-to-argentina	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/switzerland-to-brazil	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/switzerland-to-chile	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/switzerland-to-colombia	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/switzerland-to-ghana	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/switzerland-to-indonesia	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/switzerland-to-kenya	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/switzerland-to-malaysia	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/switzerland-to-mexico	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/switzerland-to-nigeria	410		retired on purpose (410 Gone)
